step,time_s,file,mean_speed_mm_per_s,max_speed_mm_per_s,p95_speed_mm_per_s,relative_L2_one_step_percent,max_difference_one_step_mm_per_s,relative_L2_lag_percent,max_difference_lag_mm_per_s,section_point_count,section_mean_speed_mm_per_s,section_max_speed_mm_per_s,section_relative_L2_one_step_percent,section_relative_L2_lag_percent,section_max_difference_lag_mm_per_s
28,3.5,solution_000028.vtu,3.4084523404279805,18.220618591610766,13.117020616709198,0.5401568751664119,0.27882573489194235,5.619323505329923,2.6104631870312223,494,2.2678560491871673,11.063403497488027,1.0117422262290519,11.922129217298068,1.3647889502598076
29,3.625,solution_000029.vtu,3.407692448611553,18.219855718068498,13.13615935336832,0.4969817688313593,0.2583805211516568,5.19340578763722,2.4475956063945663,494,2.2485969748586885,11.003621005747764,0.939206004123511,10.581169034105582,1.2202935165451496
30,3.75,solution_000030.vtu,3.4069845400165812,18.2190646753645,13.165101439024811,0.4566274055134398,0.2338788995776145,4.803000142380923,2.3446960553443623,494,2.230133888434848,10.942250980494569,0.8772705142726633,9.522235045955027,1.0841191177221023
31,3.875,solution_000031.vtu,3.40632559090725,18.218277734478228,13.17040346313097,0.4191916717727523,0.21070567155382716,4.441010835347803,2.200580291068455,494,2.212506275482812,10.88094168567788,0.8230708838945063,8.684010783408313,0.9653854054862732
32,4.0,solution_000032.vtu,3.40570980782532,18.217511636116622,13.182925485446901,0.38481494947865874,0.18897143723724627,4.102939290419371,2.0414769703755162,494,2.19572483917951,10.820773224089436,0.7747411168398469,8.008832479539391,0.8685179854247369
33,4.125,solution_000033.vtu,3.405130435573476,18.216774588545242,13.202992566256395,0.3536009970594454,0.166021696669634,3.786419794620631,1.9004155211280156,494,2.179780561686321,10.762416185432311,0.7310478590334724,7.449828768995301,0.7786707554431435
34,4.25,solution_000034.vtu,3.404580971935351,18.216070205036598,13.207366469801837,0.3255652568139067,0.14318711978960352,3.4906624095273546,1.7338088295052132,494,2.1646518189540718,10.706254473335388,0.691142003253504,6.972683060212621,0.6970743705466287
35,4.375,solution_000035.vtu,3.404055866714988,18.215399662567528,13.223280323009394,0.3006133374759041,0.12146718402659135,3.215860773026312,1.555256397085006,494,2.15030960966175,10.65247748018112,0.6544064566438488,6.5540463439322965,0.6240984011623428
36,4.5,solution_000036.vtu,3.4035508219153536,18.21476286048804,13.232107141226622,0.2785460563365392,0.1015260879857314,2.9626183375763513,1.4045870382816381,494,2.13672116818264,10.601147314752117,0.620369259743047,6.178724593467844,0.5595702451812806
37,4.625,solution_000037.vtu,3.403062816621918,18.214159033580735,13.243588247151388,0.2590832876270959,0.08373339527585208,2.731454556145808,1.2445079384560975,494,2.123852310510534,10.552246478853876,0.5886559746637565,5.8369757826269995,0.50737357468346
38,4.75,solution_000038.vtu,3.4025899658363943,18.21358707504904,13.262238798633044,0.2418972550087578,0.07079009132045287,2.522446513448472,1.0833127546983912,494,2.111668856725324,10.505710696300515,0.5589634541139408,5.522448442878748,0.47280993145152184
39,4.875,solution_000039.vtu,3.4021312983770593,18.21304570831377,13.266238538925304,0.22664658626795717,0.06677121580933323,2.3350375022193477,0.9277411474053171,494,2.1001374235819834,10.461450782533072,0.5310443145185787,5.230809821178812,0.4408621875911013
40,5.0,solution_000040.vtu,3.4016865132815917,18.2125335807899,13.266238685212036,0.21300479610910192,0.06342062916158346,2.168010955102793,0.7827138102834482,494,2.0892258148816003,10.419366646016005,0.5046964582081788,4.9589161322559105,0.4149164441820919
41,5.125,solution_000041.vtu,3.4012557516412607,18.212049317181144,13.266238823567722,0.20067993967791223,0.05980581292494146,2.019597601146545,0.6513606331011017,494,2.078903172944794,10.379355801383314,0.4797549975800977,4.704345203925689,0.39185310222344133
42,5.25,solution_000042.vtu,3.4008394033715446,18.211591551181847,13.266238954383683,0.18942500321581626,0.05600913244020041,1.8876644080490812,0.5420615193609954,494,2.0691400003987788,10.341318175054758,0.4560855107198509,4.465145465409389,0.3701323159998557
43,5.375,solution_000043.vtu,3.4004379562200704,18.21115894503645,13.266212933722704,0.1790405120719429,0.05211597937956328,1.7699295877110854,0.5136800752641004,494,2.0599081203091516,10.305158499435468,0.4335782676815395,4.239702519730483,0.35051681544011887
44,5.5,solution_000044.vtu,3.400051886575185,18.21075020176633,13.266239194904198,0.16937168158563937,0.04871004706487916,1.6641573421926688,0.48772725877686973,494,2.051180613754485,10.270787212651658,0.41214332105943635,4.026664412569771,0.3349846420027998
45,5.625,solution_000045.vtu,3.399681587316975,18.210364072639074,13.278141543768283,0.1603024427431151,0.04643854225864384,1.5683036844783738,0.4599988049024937,494,2.0429317550439117,10.238120492628928,0.39170640703908693,3.8248941229287223,0.3197090249941608
46,5.75,solution_000046.vtu,3.399327326024473,18.2099993613815,13.285263827637712,0.15174821656470663,0.04422836341671803,1.480603602039496,0.4310444939418345,494,2.0351369533288,10.207079841330936,0.3722055883405858,3.6334342612633654,0.30482411237015483
47,5.875,solution_000047.vtu,3.398989226467458,18.209654926104587,13.292089065460967,0.1436487132764923,0.0418605562727923,1.3996045044978656,0.4014449544006561,494,2.0277727030128787,10.177591481927585,0.3535885481948578,3.45147773146401,0.290407136504206
48,6.0,solution_000048.vtu,3.3986672668255653,18.209329679620236,13.295070091734422,0.13596149096830148,0.03937919020715361,1.3241589580354705,0.375389419462713,494,2.020816542261654,10.149585724992727,0.3358104341996141,3.278342208824073,0.2764982941203596
49,6.125,solution_000049.vtu,3.398361289039096,18.209022588655813,13.295017809456365,0.12865660284802902,0.036828812909424316,1.253391759656614,0.3583036186710064,494,2.0142470176967255,10.122996388321651,0.31883215399902726,3.1134478772501173,0.2631143872676799
50,6.25,solution_000050.vtu,3.3980710148246764,18.208732672323322,13.294188757619763,0.1217123970843036,0.034639489613156,1.1866545642477637,0.341026449775435,494,2.0080436532954162,10.097760306834193,0.3026190341736241,2.956298294501499,0.2502579510333458
51,6.375,solution_000051.vtu,3.397796064950191,18.20845900017417,13.2929968147766,0.11511238487857639,0.032477495962631865,1.1234777684755648,0.32265710958870025,494,2.0021869214641197,10.073816945809185,0.2871397756596133,2.806464250810498,0.23792319121213354
52,6.5,solution_000052.vtu,3.397535979375627,18.20820068998441,13.299424401800836,0.10884301739433601,0.030320223185342637,1.0635257316330469,0.3035085597413164,494,1.9966582152391665,10.051108107490693,0.2723656364386608,2.663570368198394,0.22609972055818484
53,6.625,solution_000053.vtu,3.3972902366403828,18.207956905455408,13.301148901409034,0.10289219553957608,0.02819649722492737,1.0065584660371742,0.2844988541084239,494,1.9914398205098025,10.029577719505955,0.25826980739552,2.5272841227734455,0.21477481674450358
54,6.75,solution_000054.vtu,3.397058271521605,18.20772685391599,13.300415245119794,0.09724834029517246,0.026572108183495927,0.9524008651636082,0.2680462096794527,494,1.9865148878072816,10.009171688246578,0.24482693692559687,2.3973069406595195,0.20393471709102873
55,6.875,solution_000055.vtu,3.3968394904588983,18.207509784087303,13.298505440382622,0.09189987321510706,0.025427863615230067,0.9009192711745184,0.2514300969738255,494,1.9818674034155024,9.989837801155797,0.23201277715678842,2.273367038160089,0.19356530881664158
56,7.0,solution_000056.vtu,3.39663328457605,18.207304983947648,13.296563276421224,0.08683498233728956,0.024303488749971514,0.8520045154315963,0.2348761647382992,494,1.9774821597711132,9.971525663759008,0.21980392731422888,2.155213714779348,0.18365245757991738
57,7.125,solution_000057.vtu,3.3964390403491436,18.207111778712548,13.298527768782654,0.08204157486307251,0.023203845855317717,0.8055602966566306,0.21858982861382512,494,1.973344725252511,9.954186659769896,0.20817765410864547,2.0426128509886374,0.17418213337854044
58,7.25,solution_000058.vtu,3.396256148105505,18.20692952893532,13.299808851380327,0.07750734185234417,0.022132600596491768,0.7614957335921112,0.20829859485487628,494,1.9694414135364193,9.937773925170177,0.1971117722558968,1.9353434041048005,0.16514043403927833
59,7.375,solution_000059.vtu,3.3960840086069934,18.20675762872426,13.307018056373956,0.07321988070493413,0.021092456387091767,0.7197210283015469,0.19934455754959732,494,1.9657592527385261,9.922242329502017,0.18658457101367876,1.833194722941149,0.1565135660237139
60,7.5,solution_000060.vtu,3.3959220379963417,18.20659550406874,13.30701974737443,0.06916683804107364,0.020085342520233113,0.6801453376754683,0.19054001544549767,494,1.9622859545645834,9.907548459597322,0.17657477500393934,1.7359645392802023,0.14828781643013378
61,7.625,solution_000061.vtu,3.3957696713811854,18.206442611264293,13.307021341959114,0.065336048863284,0.019112565042665064,0.6426761231102621,0.18192486595351676,494,1.9590098836897458,9.893650602561907,0.16706152969905141,1.6434575031394953,0.1404495320043289
62,7.75,solution_000062.vtu,3.3956263653090035,18.20629843542625,13.307022845515094,0.061715657924441884,0.018174927804193348,0.6072194161322222,0.17352920379020756,494,1.9559200275637525,9.88050872605629,0.15802440382609723,1.555484154131962,0.13298511181508393
63,7.875,solution_000063.vtu,3.3954915993564363,18.206162489082573,13.307024263142528,0.058294216495029125,0.017272829756392712,0.5736805848627282,0.165375241597259,494,1.9530059668133335,9.868084454817515,0.1494434025814008,1.4718602340996123,0.12588101410046662
64,8.0,solution_000064.vtu,3.395364877023364,18.20603431083708,13.307025599668492,0.05506075270506871,0.01640634340338794,0.5419653095850536,0.15747885605956907,494,1.95025784638427,9.856341043004534,0.1412989869678534,1.3924062603802152,0.1191237750395099
65,8.125,solution_000065.vtu,3.3952457260898923,18.205913464095808,13.307026859660127,0.05200481681162173,0.015575278320100187,0.5119805745059893,0.1498508302136687,494,1.9476663475364229,9.845243342380295,0.13357209576609994,1.316947291942817,0.11270003614627443
66,8.25,solution_000066.vtu,3.3951336985652474,18.205799535850712,13.307796652301127,0.04911650454930343,0.014779232836087506,0.48363555876814973,0.14249785117638056,494,1.9452226607777987,9.83475776661849,0.1262441676250407,1.2453128325562723,0.10659657690310305
67,8.375,solution_000067.vtu,3.395028370331726,18.205692135515836,13.312810599958656,0.046386462540195385,0.01401763632051508,0.4568423656629188,0.1354233121477631,494,1.9429184597985083,9.824852252182588,0.1192971615599355,1.1773368259954278,0.1008003496650275
68,8.5,solution_000068.vtu,3.39492934056561,18.20559089381254,13.317528769141893,0.04380587988863588,0.01328978397113918,0.4315165680801166,0.1286279584549801,494,1.9407458764438212,9.815496216304176,0.11271357475147087,1.112857707936728,0.09529851447722582
69,8.625,solution_000069.vtu,3.3948362309990436,18.20549546170085,13.321968898634507,0.041366469813955045,0.012594865591462457,0.4075775738267383,0.12211040964515764,494,1.9386974767465697,9.806660512611797,0.1064764570211166,1.0517184875878902,0.09007847208169174
70,8.75,solution_000070.vtu,3.3947486850728064,18.205405509355007,13.322363580961312,0.03906044467177625,0.011931989510834785,0.3849488296713646,0.11586758314624514,494,1.9367662380237436,9.798317384950431,0.10056942169586666,0.9937668391818423,0.08512789395814672
71,8.875,solution_000071.vtu,3.3946663670184885,18.20532072518144,13.322015709340159,0.036880487114153405,0.01130020254879574,0.3635578905825277,0.10989503968480469,494,1.934945527029446,9.790440419898706,0.09497665282725336,0.9388551893048224,0.08043474871274738
72,9.0,solution_000072.vtu,3.394588960899747,18.205240814877957,13.321687708985433,0.034819719532191644,0.010698506729156548,0.34333638295539,0.10418726633695867,494,1.9332290791465188,9.78300449844613,0.08968290889462671,0.886840790695953,0.07598732448892795
73,9.125,solution_000073.vtu,3.3945161696353714,18.205165500533198,13.321378460768434,0.032871673366004474,0.010125873299933216,0.324219889530804,0.09873790964603006,494,1.9316109785916757,9.775985747242288,0.08467352322874253,0.8375857767794064,0.07177424733713138
74,9.25,solution_000074.vtu,3.394447714021334,18.205094519765268,13.321086906645503,0.031030259384832,0.009581254501398934,0.3061477806365798,0.09353996852505923,494,1.930085639603364,9.7693614897786,0.07993440145902662,0.7909571939361697,0.0677844956615317
75,9.375,solution_000075.vtu,3.3943833317648915,18.20502762489867,13.320812046552865,0.02928973964586301,0.009063593437066099,0.28906301236545234,0.08858595453971882,494,1.928647788577913,9.763110197813505,0.0754520163102474,0.7468270105056468,0.0640074109775158
76,9.5,solution_000076.vtu,3.3943227765403683,18.204964582178725,13.320552935434845,0.027644701532261014,0.00857183233612003,0.2729119080603414,0.08386802552351615,494,1.9272924471170385,9.75721144330535,0.0712134000871253,0.7050721029102877,0.060432705281791316
77,9.625,solution_000077.vtu,3.3942658170737134,18.204905171022567,13.320308680401553,0.026090034041471716,0.00810491944419234,0.2576439354581885,0.07937809720963526,494,1.9260149159485176,9.751645851074558,0.06720613517442244,0.6655742202150018,0.057050465369442145
78,9.75,solution_000078.vtu,3.394212236260766,18.204849183305537,13.320078438012294,0.024620906332322896,0.00766181473958998,0.24321148830082687,0.07510793659216924,494,1.9248107596813437,9.74639505237832,0.06341834286371813,0.6282199290044577,0.0538511544412803
79,9.875,solution_000079.vtu,3.3941618303226777,18.20479642268222,13.319861411681348,0.023232748431390206,0.007241494640380087,0.2295696782680557,0.07104923998404693,494,1.9236757923569967,9.741441639546947,0.059838670792002564,0.5929005407605521,0.05082561133767203
80,10.0,solution_000080.vtu,3.3941144080004744,18.20474670394082,13.319656849202435,0.021921233933575646,0.006842955842999931,0.21667614074088076,0.06719369816760623,494,1.9226060637589861,9.736769121800712,0.056456279257680014,0.5595120240419393,0.04796504771857436
81,10.125,solution_000081.vtu,3.394069789789921,18.204699852389936,13.319464040388501,0.020682264497886727,0.006465218412372079,0.20449085612066206,0.06353305059318676,494,1.9215978464440193,9.732361882340019,0.05326082664434215,0.5279549037500919,0.04526104348706039
82,10.25,solution_000082.vtu,3.3940278072168724,18.204655703276412,13.319282314823123,0.019511955928294283,0.006107328227159397,0.19297598714076536,0.06005913023944656,494,1.9206476234592342,9.728205136778502,0.05024245416580794,0.4981341496685871,0.04270554072896115
83,10.375,solution_000083.vtu,3.393988302152818,18.204614101233172,13.319111039720028,0.018406625633632507,0.00576835886963251,0.18209573172635393,0.056763900481698916,494,1.919752076711409,9.7242848929692,0.04739177011406191,0.46995905631346496,0.04029083641563281
84,10.5,solution_000084.vtu,3.3939511261697892,18.204574899755812,13.31894961788692,0.017362781274241214,0.005447413038111033,0.1718161904007409,0.053639485102587,494,1.9189080759554515,9.720587912256734,0.04469983377362169,0.4433431159554493,0.03800957409172024
85,10.625,solution_000085.vtu,3.3939161399334585,18.204537960706762,13.318797485789984,0.016377110422264658,0.005143623549812268,0.16210524692555486,0.05067819240938788,494,1.9181126683709562,9.717101672174014,0.0421581391420677,0.41820388648712126,0.03585473474579779
86,10.75,solution_000086.vtu,3.3938832126330185,18.20450315384574,13.318654111715222,0.015446471083979929,0.004856153993413268,0.15293246072996516,0.04787253428375765,494,1.9173630686970395,9.713814330589639,0.039758598579114394,0.3944628556211693,0.03381962703926523
87,10.875,solution_000087.vtu,3.3938522214462523,18.204470356385425,13.318518994022885,0.014567882954336739,0.004584199083188232,0.1442689696764315,0.045215240875728833,494,1.9166566498971114,9.710714691301765,0.0374935264883746,0.3720453027280585,0.0318978770481221
88,11.0,solution_000088.vtu,3.3938230510380865,18.204439452571098,13.318391659491192,0.013738519294580708,0.004326984760020029,0.13608740178337989,0.04269927155808007,494,1.9159909343265675,9.707792171065462,0.035355623121147366,0.35088015944940815,0.030083417652943978
89,11.125,solution_000089.vtu,3.393795593090887,18.204410333283082,13.318271661745676,0.012955699342671033,0.004083768079013731,0.1283617946460682,0.04031782267672175,494,1.9153635853777218,9.705036768033493,0.03333795857758105,0.3308998700732964,0.02837047769518082
90,11.25,solution_000090.vtu,3.393769745864718,18.204382895660988,13.318158579770333,0.012216881182797071,0.0038538369183595033,0.12106752144141555,0.03806433256359803,494,1.9147723995775154,9.70243903158433,0.031433957068840515,0.31204025251326034,0.02675357100193111
91,11.375,solution_000091.vtu,3.3937454137858176,18.204357042748562,13.318052016497106,0.011519655014541467,0.0036365095397106776,0.1141812225540355,0.035932484219288616,494,1.9142152991147519,9.699990033506682,0.029637381492003286,0.29424036060856373,0.02522748536712646
92,11.5,solution_000092.vtu,3.3937225070615655,18.20433268315814,13.31816131811048,0.010861736774148959,0.0034311340265673488,0.10768074200794955,0.03391620602094506,494,1.9136903247747066,9.697681340505753,0.02794231836164659,0.27744234834957915,0.023787271564236753
93,11.625,solution_000093.vtu,3.3937009413203048,18.204309730753724,13.318987443177777,0.010240962070214417,0.0032370876235666545,0.10154506802459669,0.03200967076620893,494,1.913195629260038,9.69550498799373,0.026343163131410583,0.2615913365315419,0.022428232454038438
94,11.75,solution_000094.vtu,3.393680637274403,18.2042881043517,13.3196429751703,0.009655280403983486,0.003053775996759259,0.09575427714913998,0.0302072933244931,494,1.9127294708779443,9.69345345512461,0.024834605933841222,0.24663528225162226,0.02114591224080349
95,11.875,solution_000095.vtu,3.3936615204050673,18.20426772743824,13.319927447524957,0.009102749650818094,0.002880632432121477,0.09028948149225736,0.02850372713236731,494,1.912290207574468,9.691519641031974,0.023411617758079668,0.23252485158529482,0.01993608592109367
96,12.0,solution_000096.vtu,3.3936435206674695,18.204248527902568,13.32019541207309,0.008581530784228438,0.00271711698730247,0.08513277872352004,0.026893859739468777,494,1.9118762912977765,9.689696842227207,0.02206943708112216,0.2192132957097747,0.01879474896129698
97,12.125,solution_000097.vtu,3.393626572214831,18.204230437785192,13.320447829817956,0.008089882827706184,0.002562715609496479,0.08026720452618176,0.025372807584506517,494,1.9114862626731102,9.687978731115122,0.020803556962313122,0.20665633068175698,0.0177181072329788
98,12.25,solution_000098.vtu,3.393610613140212,18.204213393040284,13.320536703661165,0.007626158022406036,0.0024169392304809784,0.07567668728310092,0.023935910157310385,494,1.9111187459729495,9.686359335583646,0.019609712607029997,0.19481202102390158,0.016702567228859343
99,12.375,solution_000099.vtu,3.393595585234814,18.204197333311534,13.320507738286867,0.007188797200857307,0.002279322848269394,0.07134600481137995,0.022578723682050966,494,1.9107724443667213,9.6848330196244,0.018483869401644974,0.1836406672294602,0.015744726576830282
100,12.5,solution_000100.vtu,3.393581433761688,18.204182201720634,13.320480438685271,0.006776325358382153,0.0021494246034423122,0.06726074300087957,0.021297014438323807,494,1.9104461354351518,9.683394464941328,0.01742221141906899,0.17310469725408217,0.014841364864770655
101,12.625,solution_000101.vtu,3.3935681072438264,18.20416794466775,13.320454709611806,0.006387347415049558,0.002026824856821408,0.06340725624080097,0.020086751820550326,494,1.9101386669351044,9.682038653505163,0.01642113039063287,0.16316856203030794,0.013989434784811029
102,12.75,solution_000102.vtu,3.3935555572656675,18.20415451164332,13.320430461201845,0.006020544161635521,0.0019111252743305223,0.05977262954050165,0.018944101221909114,494,1.9098489528014146,9.680760851012213,0.015477215139476115,0.15379863501083998,0.013186053602277445
103,12.875,solution_000103.vtu,3.3935437382871196,18.204141855050594,13.32040760867474,0.005674668383676306,0.001801947923605167,0.0563446422671112,0.01786541681632059,494,1.9095759693729388,9.679556591206964,0.014587241466718665,0.14496311572182252,0.01242849495161498
104,13.0,solution_000104.vtu,3.3935326074692815,18.204129930038185,13.320386072053175,0.005348541157929959,0.0016989343863494384,0.053111733434459546,0.016847234301005567,494,1.9093187518306538,9.678421661028933,0.013748162481831338,0.13663193728621278,0.011714180959033038
105,13.125,solution_000105.vtu,3.3935221245110805,18.204118694342263,13.320365775897168,0.005041048315799783,0.0016017448895380882,0.05006296848632818,0.015886263652344367,494,1.909076390836257,9.677352086545397,0.01295709936649572,0.12877667785986063,0.011040674689619476
106,13.25,solution_000106.vtu,3.3935122514961082,18.20410810813769,13.320346649052054,0.004751137068372887,0.0015100574580136548,0.04718800752295306,0.014979381939271024,494,1.908848029360317,9.676344119632725,0.012211332560542092,0.12137047590820318,0.010405672914845397
107,13.375,solution_000107.vtu,3.3935029527489817,18.20409813389768,13.32032862440981,0.004477812787783043,0.0014243797988368705,0.04447707492366227,0.014123626230967473,494,1.9086328596895756,9.675394225370384,0.011508293357644795,0.11438794923950621,0.009806999195062725
108,13.5,solution_000108.vtu,3.3934941947006236,18.2040887362615,13.320311638683119,0.004220135939640821,0.001343560642059111,0.04192093032112429,0.013316186629043181,494,1.9084301206035381,9.674499070112823,0.010845555897979427,0.10780511770070111,0.00924259727031099
109,13.625,solution_000109.vtu,3.393485945761867,18.204079881909717,13.320295632191515,0.003977219161290619,0.0012672427126370974,0.039510840884222076,0.012554399448846697,494,1.9082390947110093,9.673655510205839,0.010220829544703595,0.10159932943499163,0.008710524751970443
110,13.75,solution_000110.vtu,3.3934781762048476,18.2040715394466,13.320280548659055,0.0037482244806573617,0.0011951849000390602,0.03723855486754122,0.011835740569443136,494,1.908059105937712,9.672860581315222,0.009631951630482227,0.09574919059328602,0.008208947106962112
111,13.875,solution_000111.vtu,3.393470858051699,18.204063679289277,13.320266335022975,0.003532360670493427,0.001127157890943352,0.03509627638592199,0.011164465428862735,494,1.9078895171566042,9.672111488336856,0.009076880560667546,0.0902344983885116,0.007736131925693023
112,14.0,solution_000112.vtu,3.393463964970058,18.20405627356323,13.320252941252718,0.0033288807328332843,0.0010629437294877389,0.03307664137280445,0.01053096804327753,494,1.9077297279529346,9.671405595858612,0.008553689259340429,0.08503617737816245,0.0072904434645676575
