case,source,upstream mean normal speed [mm/s],side branch [%],straight branch [%],closure [%]
Re=10,FEM,0.9775878423868913,43.42237929614882,56.56187482252737,99.98425411867619
Re=10,STAR-CCM+,0.9519976944778855,43.87047921457549,56.2717469143191,100.14222612889459
Re=100,FEM,9.776639396151564,29.516912452791527,70.53419247328975,100.05110492608127
Re=100,STAR-CCM+,9.53313840138923,34.260393451715295,65.81665646259829,100.07704991431358
